,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
4042,EUR_USD,S5,False,3,2022-01-06T08:22:35.000000000Z,1.1296,1.1296,1.12957,1.12957
4058,EUR_USD,S5,False,1,2022-01-06T08:22:40.000000000Z,1.12954,1.12954,1.12954,1.12954
4059,EUR_USD,S5,False,2,2022-01-06T08:22:40.000000000Z,1.12954,1.12956,1.12954,1.12956
4075,EUR_USD,S5,False,2,2022-01-06T08:22:45.000000000Z,1.12954,1.12954,1.12953,1.12953
4076,EUR_USD,S5,False,3,2022-01-06T08:22:45.000000000Z,1.12954,1.12954,1.12952,1.12952
4077,EUR_USD,S5,False,4,2022-01-06T08:22:45.000000000Z,1.12954,1.12954,1.12952,1.12953
4088,EUR_USD,S5,True,4,2022-01-06T08:22:45.000000000Z,1.12954,1.12954,1.12952,1.12953
4091,EUR_USD,S5,False,8,2022-01-06T08:22:50.000000000Z,1.12954,1.12958,1.12954,1.12958
4102,EUR_USD,S5,False,10,2022-01-06T08:22:50.000000000Z,1.12954,1.1296,1.12954,1.1296
4103,EUR_USD,S5,False,11,2022-01-06T08:22:50.000000000Z,1.12954,1.12962,1.12954,1.12962
4118,EUR_USD,S5,True,11,2022-01-06T08:22:50.000000000Z,1.12954,1.12962,1.12954,1.12962
4126,EUR_USD,S5,False,7,2022-01-06T08:23:00.000000000Z,1.12964,1.12969,1.12964,1.12969
4127,EUR_USD,S5,False,10,2022-01-06T08:23:00.000000000Z,1.12964,1.12969,1.12964,1.12968
4137,EUR_USD,S5,False,2,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12966,1.12966
4140,EUR_USD,S5,False,4,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12963,1.12963
4141,EUR_USD,S5,False,5,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12961,1.12961
4145,EUR_USD,S5,False,6,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12961,1.12962
4146,EUR_USD,S5,False,7,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12961,1.12964
4147,EUR_USD,S5,False,8,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12961,1.12962
4151,EUR_USD,S5,True,8,2022-01-06T08:23:05.000000000Z,1.12967,1.12967,1.12961,1.12962
4152,EUR_USD,S5,False,2,2022-01-06T08:23:10.000000000Z,1.12964,1.12964,1.12962,1.12962
4180,EUR_USD,S5,False,4,2022-01-06T08:23:15.000000000Z,1.1296,1.12962,1.1296,1.12962
4194,EUR_USD,S5,False,1,2022-01-06T08:23:20.000000000Z,1.12964,1.12964,1.12964,1.12964
4200,EUR_USD,S5,False,1,2022-01-06T08:23:25.000000000Z,1.12962,1.12962,1.12962,1.12962
4230,EUR_USD,S5,True,1,2022-01-06T08:23:25.000000000Z,1.12962,1.12962,1.12962,1.12962
4234,EUR_USD,S5,False,1,2022-01-06T08:23:35.000000000Z,1.1296,1.1296,1.1296,1.1296
4235,EUR_USD,S5,False,2,2022-01-06T08:23:35.000000000Z,1.1296,1.12962,1.1296,1.12962
4262,EUR_USD,S5,True,2,2022-01-06T08:23:35.000000000Z,1.1296,1.12962,1.1296,1.12962
4411,EUR_USD,S5,False,1,2022-01-06T08:24:30.000000000Z,1.1296,1.1296,1.1296,1.1296
4439,EUR_USD,S5,True,1,2022-01-06T08:24:30.000000000Z,1.1296,1.1296,1.1296,1.1296
4445,EUR_USD,S5,False,1,2022-01-06T08:24:40.000000000Z,1.12958,1.12958,1.12958,1.12958
4446,EUR_USD,S5,False,3,2022-01-06T08:24:40.000000000Z,1.12958,1.12958,1.12956,1.12958
4447,EUR_USD,S5,False,6,2022-01-06T08:24:40.000000000Z,1.12958,1.12962,1.12956,1.1296
4467,EUR_USD,S5,False,1,2022-01-06T08:24:45.000000000Z,1.12958,1.12958,1.12958,1.12958
4471,EUR_USD,S5,False,2,2022-01-06T08:24:45.000000000Z,1.12958,1.12958,1.12957,1.12957
4482,EUR_USD,S5,False,1,2022-01-06T08:24:50.000000000Z,1.12956,1.12956,1.12956,1.12956
4493,EUR_USD,S5,False,1,2022-01-06T08:24:55.000000000Z,1.12954,1.12954,1.12954,1.12954
4503,EUR_USD,S5,False,2,2022-01-06T08:24:55.000000000Z,1.12954,1.12954,1.12952,1.12952
4504,EUR_USD,S5,False,3,2022-01-06T08:24:55.000000000Z,1.12954,1.12954,1.12952,1.12953
4509,EUR_USD,S5,False,1,2022-01-06T08:25:00.000000000Z,1.12952,1.12952,1.12952,1.12952
4510,EUR_USD,S5,False,4,2022-01-06T08:25:00.000000000Z,1.12952,1.12952,1.1295,1.12952
4515,EUR_USD,S5,False,5,2022-01-06T08:25:00.000000000Z,1.12952,1.12952,1.1295,1.1295
4516,EUR_USD,S5,False,6,2022-01-06T08:25:00.000000000Z,1.12952,1.12952,1.1295,1.12952
4525,EUR_USD,S5,False,1,2022-01-06T08:25:05.000000000Z,1.12954,1.12954,1.12954,1.12954
4527,EUR_USD,S5,False,5,2022-01-06T08:25:05.000000000Z,1.12954,1.12959,1.12954,1.12959
4528,EUR_USD,S5,False,7,2022-01-06T08:25:05.000000000Z,1.12954,1.12962,1.12954,1.12962
4529,EUR_USD,S5,False,10,2022-01-06T08:25:05.000000000Z,1.12954,1.12967,1.12954,1.12967
4530,EUR_USD,S5,False,11,2022-01-06T08:25:05.000000000Z,1.12954,1.12968,1.12954,1.12968
4546,EUR_USD,S5,False,1,2022-01-06T08:25:10.000000000Z,1.12966,1.12966,1.12966,1.12966
4552,EUR_USD,S5,False,3,2022-01-06T08:25:10.000000000Z,1.12966,1.12966,1.12964,1.12964
